step,well_id,q,conc,head
0,1,-0.5,0.9999999999999778,9.999774486997847
0,2,-0.5,0.9999999999999778,9.999774486997847
0,1,-0.5,0.9999999999999778,9.999774486997847
0,2,-0.5,0.9999999999999778,9.999774486997847
0,1,-0.5,0.9999999999999778,9.999774486997847
0,2,-0.5,0.9999999999999778,9.999774486997847
0,1,-0.5,0.9999999999999778,9.999754078558741
0,2,-0.5,0.9999999999999778,9.999754078558741
0,1,-0.5,0.9999999999999778,9.999754078558741
0,2,-0.5,0.9999999999999778,9.999754078558741
0,1,-0.5,0.9999999999999778,9.999754078558741
0,2,-0.5,0.9999999999999778,9.999754078558741
0,1,-0.5,0.9999999999999778,9.999754078558741
0,2,-0.5,0.9999999999999778,9.999754078558741
0,1,-0.5,0.9999999999999778,9.999754078558741
0,2,-0.5,0.9999999999999778,9.999754078558741
0,1,-0.5,0.9999999999999778,9.999754078558741
0,2,-0.5,0.9999999999999778,9.999754078558741
0,1,-0.5,0.9999999999999771,9.999754078558741
0,2,-0.5,0.9999999999999771,9.999754078558741
0,1,-0.5,0.9999999999999771,9.999754078558741
0,2,-0.5,0.9999999999999771,9.999754078558741
0,1,-0.5,0.9999999999999771,9.999754078558741
0,2,-0.5,0.9999999999999771,9.999754078558741
1,1,-0.5,0.9999999999999771,9.999754078558741
1,2,-0.5,0.9999999999999771,9.999754078558741
1,1,-0.5,0.9999999999999771,9.999754078558741
1,2,-0.5,0.9999999999999771,9.999754078558741
1,1,-0.5,0.9999999999999771,9.999733705987467
1,2,-0.5,0.9999999999999771,9.999733705987467
1,1,-0.5,0.9999999999999771,9.999733705987467
1,2,-0.5,0.9999999999999771,9.999733705987467
1,1,-0.5,0.9999999999999771,9.999733705987467
1,2,-0.5,0.9999999999999771,9.999733705987467
1,1,-0.5,0.9999999999999771,9.999733705987467
1,2,-0.5,0.9999999999999771,9.999733705987467
1,1,-0.5,0.9999999999999765,9.999733705987467
1,2,-0.5,0.9999999999999765,9.999733705987467
1,1,-0.5,0.9999999999999765,9.999733705987467
1,2,-0.5,0.9999999999999765,9.999733705987467
2,1,-0.5,0.9999999999999765,9.999733705987467
2,2,-0.5,0.9999999999999765,9.999733705987467
2,1,-0.5,0.9999999999999765,9.999733705987467
2,2,-0.5,0.9999999999999765,9.999733705987467
2,1,-0.5,0.9999999999999765,9.99971336918084
2,2,-0.5,0.9999999999999765,9.99971336918084
2,1,-0.5,0.9999999999999765,9.99971336918084
2,2,-0.5,0.9999999999999765,9.99971336918084
2,1,-0.5,0.9999999999999765,9.99971336918084
2,2,-0.5,0.9999999999999765,9.99971336918084
2,1,-0.5,0.9999999999999765,9.99971336918084
2,2,-0.5,0.9999999999999765,9.99971336918084
2,1,-0.5,0.9999999999999757,9.99971336918084
2,2,-0.5,0.9999999999999757,9.99971336918084
2,1,-0.5,0.9999999999999757,9.99971336918084
2,2,-0.5,0.9999999999999757,9.99971336918084
3,1,-0.5,0.9999999999999757,9.99971336918084
3,2,-0.5,0.9999999999999757,9.99971336918084
3,1,-0.5,0.9999999999999757,9.99971336918084
3,2,-0.5,0.9999999999999757,9.99971336918084
3,1,-0.5,0.9999999999999757,9.999693068055059
3,2,-0.5,0.9999999999999757,9.999693068055059
3,1,-0.5,0.9999999999999757,9.999693068055059
3,2,-0.5,0.9999999999999757,9.999693068055059
3,1,-0.5,0.9999999999999757,9.999693068055059
3,2,-0.5,0.9999999999999757,9.999693068055059
3,1,-0.5,0.9999999999999757,9.999693068055059
3,2,-0.5,0.9999999999999757,9.999693068055059
3,1,-0.5,0.9999999999999746,9.999693068055059
3,2,-0.5,0.9999999999999746,9.999693068055059
3,1,-0.5,0.9999999999999746,9.999693068055059
3,2,-0.5,0.9999999999999746,9.999693068055059
4,1,-0.5,0.9999999999999746,9.999693068055059
4,2,-0.5,0.9999999999999746,9.999693068055059
4,1,-0.5,0.9999999999999746,9.999693068055059
4,2,-0.5,0.9999999999999746,9.999693068055059
4,1,-0.5,0.9999999999999746,9.99967280252857
4,2,-0.5,0.9999999999999746,9.99967280252857
4,1,-0.5,0.9999999999999746,9.99967280252857
4,2,-0.5,0.9999999999999746,9.99967280252857
4,1,-0.5,0.9999999999999746,9.99967280252857
4,2,-0.5,0.9999999999999746,9.99967280252857
4,1,-0.5,0.9999999999999746,9.99967280252857
4,2,-0.5,0.9999999999999746,9.99967280252857
4,1,-0.5,0.9999999999999738,9.99967280252857
4,2,-0.5,0.9999999999999738,9.99967280252857
4,1,-0.5,0.9999999999999738,9.99967280252857
4,2,-0.5,0.9999999999999738,9.99967280252857
5,1,-0.5,0.9999999999999738,9.99967280252857
