step,head,conc,q_well1,q_well2,head_state,conc_state
0,10.0,1.0,-0.05,-0.05,normal,normal
0,10.0,1.0,-0.05500000000000001,-0.05500000000000001,normal,above
0,9.999999999994234,1.0,-0.06050000000000001,-0.06050000000000001,normal,above
0,9.999999999994234,1.0,-0.06655000000000001,-0.06655000000000001,normal,above
0,9.999999999994234,1.0,-0.07320500000000002,-0.07320500000000002,normal,above
0,9.999999999994234,1.0,-0.08052550000000003,-0.08052550000000003,normal,above
0,9.999999999994234,1.0,-0.08857805000000003,-0.08857805000000003,normal,above
0,9.999999999994234,1.0,-0.09743585500000004,-0.09743585500000004,normal,above
0,9.999999999994234,1.0000000000000002,-0.10717944050000006,-0.10717944050000006,normal,above
0,9.999999999994234,1.0000000000000002,-0.11789738455000007,-0.11789738455000007,normal,above
0,9.999999999994234,1.0000000000000002,-0.12968712300500007,-0.12968712300500007,normal,above
1,9.999999999994234,1.0000000000000002,-0.14265583530550008,-0.14265583530550008,normal,above
1,9.999999999994234,1.0000000000000002,-0.1569214188360501,-0.1569214188360501,normal,above
1,9.99999999996974,1.0000000000000002,-0.1726135607196551,-0.1726135607196551,normal,above
1,9.99999999996974,1.0000000000000002,-0.18987491679162063,-0.18987491679162063,normal,above
1,9.99999999996974,1.0000000000000002,-0.20886240847078272,-0.20886240847078272,normal,above
1,9.99999999996974,1.0000000000000002,-0.22974864931786101,-0.22974864931786101,normal,above
1,9.99999999996974,1.0000000000000002,-0.2527235142496471,-0.2527235142496471,normal,above
1,9.99999999996974,1.0000000000000002,-0.2779958656746119,-0.2779958656746119,normal,above
2,9.99999999996974,1.0000000000000002,-0.3057954522420731,-0.3057954522420731,normal,above
2,9.99999999996974,1.0000000000000002,-0.33637499746628047,-0.33637499746628047,normal,above
2,9.999999999902654,1.0000000000000002,-0.3700124972129085,-0.3700124972129085,normal,above
2,9.999999999902654,1.0000000000000002,-0.4070137469341994,-0.4070137469341994,normal,above
2,9.999999999902654,1.0000000000000002,-0.4477151216276194,-0.4477151216276194,normal,above
2,9.999999999902654,1.0000000000000002,-0.4924866337903814,-0.4924866337903814,normal,above
2,9.999999999902654,1.0,-0.5417352971694196,-0.5417352971694196,normal,above
2,9.999999999902654,1.0,-0.5959088268863616,-0.5959088268863616,normal,above
3,9.999999999902654,1.0,-0.6554997095749978,-0.6554997095749978,normal,above
3,9.999999999902654,1.0,-0.7210496805324976,-0.7210496805324976,normal,above
3,9.999999999743144,1.0,-0.7931546485857475,-0.7931546485857475,normal,above
3,9.999999999743144,1.0,-0.8724701134443222,-0.8724701134443222,normal,above
3,9.999999999743144,1.0,-0.9597171247887545,-0.9597171247887545,normal,above
3,9.999999999743144,1.0,-1.05568883726763,-1.05568883726763,normal,above
3,9.999999999743144,1.0,-1.1612577209943933,-1.1612577209943933,normal,above
3,9.999999999743144,1.0,-1.2773834930938328,-1.2773834930938328,normal,above
4,9.999999999743144,1.0,-1.4051218424032161,-1.4051218424032161,normal,above
4,9.999999999743144,1.0,-1.5456340266435378,-1.5456340266435378,normal,above
4,9.999999999384707,1.0,-1.7001974293078916,-1.7001974293078916,normal,above
4,9.999999999384707,1.0,-1.870217172238681,-1.870217172238681,normal,above
4,9.999999999384707,1.0,-2.0572388894625493,-2.0572388894625493,normal,above
4,9.999999999384707,1.0,-2.2629627784088044,-2.2629627784088044,normal,above
4,9.999999999384707,0.9999999999999999,-2.489259056249685,-2.489259056249685,normal,above
4,9.999999999384707,0.9999999999999999,-2.7381849618746537,-2.7381849618746537,normal,above
5,9.999999999384707,0.9999999999999999,-3.0120034580621193,-3.0120034580621193,normal,above
5,9.999999999384707,0.9999999999999999,-3.3132038038683316,-3.3132038038683316,normal,above
5,9.9999999985991,0.9999999999999999,-3.644524184255165,-3.644524184255165,normal,above
5,9.9999999985991,0.9999999999999999,-4.008976602680682,-4.008976602680682,normal,above
5,9.9999999985991,0.9999999999999999,-4.40987426294875,-4.40987426294875,normal,above
5,9.9999999985991,0.9999999999999999,-4.850861689243626,-4.850861689243626,normal,above
5,9.9999999985991,0.9999999999999993,-5.335947858167989,-5.335947858167989,normal,above
5,9.9999999985991,0.9999999999999993,-5.869542643984788,-5.869542643984788,normal,above
6,9.9999999985991,0.9999999999999993,-6.456496908383268,-6.456496908383268,normal,above
6,9.9999999985991,0.9999999999999993,-7.102146599221595,-7.102146599221595,normal,above
6,9.999999996897072,0.9999999999999993,-7.8123612591437555,-7.8123612591437555,normal,above
6,9.999999996897072,0.9999999999999993,-8.593597385058132,-8.593597385058132,normal,above
6,9.999999996897072,0.9999999999999993,-9.452957123563946,-9.452957123563946,normal,above
6,9.999999996897072,0.9999999999999993,-10.398252835920342,-10.398252835920342,normal,above
6,9.999999996897072,0.9999999999999981,-11.438078119512378,-11.438078119512378,normal,above
6,9.999999996897072,0.9999999999999981,-12.581885931463617,-12.581885931463617,normal,above
7,9.999999996897072,0.9999999999999981,-13.84007452460998,-13.84007452460998,normal,above
7,9.999999996897072,0.9999999999999981,-15.224081977070979,-15.224081977070979,normal,above
7,9.999999993229887,0.9999999999999981,-16.746490174778078,-16.746490174778078,normal,above
7,9.999999993229887,0.9999999999999981,-18.421139192255886,-18.421139192255886,normal,above
7,9.999999993229887,0.9999999999999981,-20.263253111481475,-20.263253111481475,normal,above
7,9.999999993229887,0.9999999999999981,-22.289578422629624,-22.289578422629624,normal,above
7,9.999999993229887,0.9999999999999949,-24.51853626489259,-24.51853626489259,normal,above
7,9.999999993229887,0.9999999999999949,-26.97038989138185,-26.97038989138185,normal,above
8,9.999999993229887,0.9999999999999949,-29.667428880520035,-29.667428880520035,normal,above
8,9.999999993229887,0.9999999999999949,-32.63417176857204,-32.63417176857204,normal,above
8,9.99999998534947,0.9999999999999949,-35.89758894542925,-35.89758894542925,normal,above
8,9.99999998534947,0.9999999999999949,-39.48734783997217,-39.48734783997217,normal,above
8,9.99999998534947,0.9999999999999949,-43.43608262396939,-43.43608262396939,normal,above
8,9.99999998534947,0.9999999999999949,-47.77969088636633,-47.77969088636633,normal,above
8,9.99999998534947,0.9999999999999882,-50.0,-50.0,normal,above
8,9.99999998534947,0.9999999999999882,-50.0,-50.0,normal,above
9,9.99999998534947,0.9999999999999882,-50.0,-50.0,normal,above
9,9.99999998534947,0.9999999999999882,-50.0,-50.0,normal,above
9,9.999999971005641,0.9999999999999882,-50.0,-50.0,normal,above
9,9.999999971005641,0.9999999999999882,-50.0,-50.0,normal,above
9,9.999999971005641,0.9999999999999882,-50.0,-50.0,normal,above
9,9.999999971005641,0.9999999999999882,-50.0,-50.0,normal,above
9,9.999999971005641,0.9999999999999789,-50.0,-50.0,normal,above
9,9.999999971005641,0.9999999999999789,-50.0,-50.0,normal,above
10,9.999999971005641,0.9999999999999789,-50.0,-50.0,normal,above
10,9.999999971005641,0.9999999999999789,-50.0,-50.0,normal,above
10,9.999999949268027,0.9999999999999789,-50.0,-50.0,normal,above
10,9.999999949268027,0.9999999999999789,-50.0,-50.0,normal,above
10,9.999999949268027,0.9999999999999789,-50.0,-50.0,normal,above
10,9.999999949268027,0.9999999999999789,-50.0,-50.0,normal,above
10,9.999999949268027,0.9999999999999688,-50.0,-50.0,normal,above
10,9.999999949268027,0.9999999999999688,-50.0,-50.0,normal,above
11,9.999999949268027,0.9999999999999688,-50.0,-50.0,normal,above
11,9.999999949268027,0.9999999999999688,-50.0,-50.0,normal,above
11,9.999999919654691,0.9999999999999688,-50.0,-50.0,normal,above
11,9.999999919654691,0.9999999999999688,-50.0,-50.0,normal,above
11,9.999999919654691,0.9999999999999688,-50.0,-50.0,normal,above
11,9.999999919654691,0.9999999999999688,-50.0,-50.0,normal,above
11,9.999999919654691,0.9999999999999586,-50.0,-50.0,normal,above
11,9.999999919654691,0.9999999999999586,-50.0,-50.0,normal,above
12,9.999999919654691,0.9999999999999586,-50.0,-50.0,normal,above
12,9.999999919654691,0.9999999999999586,-50.0,-50.0,normal,above
12,9.999999881784372,0.9999999999999586,-50.0,-50.0,normal,above
12,9.999999881784372,0.9999999999999586,-50.0,-50.0,normal,above
12,9.999999881784372,0.9999999999999586,-50.0,-50.0,normal,above
12,9.999999881784372,0.9999999999999586,-50.0,-50.0,normal,above
12,9.999999881784372,0.9999999999999484,-50.0,-50.0,normal,above
12,9.999999881784372,0.9999999999999484,-50.0,-50.0,normal,above
13,9.999999881784372,0.9999999999999484,-50.0,-50.0,normal,above
13,9.999999881784372,0.9999999999999484,-50.0,-50.0,normal,above
13,9.999999835296363,0.9999999999999484,-50.0,-50.0,normal,above
13,9.999999835296363,0.9999999999999484,-50.0,-50.0,normal,above
13,9.999999835296363,0.9999999999999484,-50.0,-50.0,normal,above
13,9.999999835296363,0.9999999999999484,-50.0,-50.0,normal,above
13,9.999999835296363,0.9999999999999382,-50.0,-50.0,normal,above
13,9.999999835296363,0.9999999999999382,-50.0,-50.0,normal,above
14,9.999999835296363,0.9999999999999382,-50.0,-50.0,normal,above
14,9.999999835296363,0.9999999999999382,-50.0,-50.0,normal,above
14,9.999999779835166,0.9999999999999382,-50.0,-50.0,normal,above
14,9.999999779835166,0.9999999999999382,-50.0,-50.0,normal,above
14,9.999999779835166,0.9999999999999382,-50.0,-50.0,normal,above
14,9.999999779835166,0.9999999999999382,-50.0,-50.0,normal,above
14,9.999999779835166,0.9999999999999282,-50.0,-50.0,normal,above
14,9.999999779835166,0.9999999999999282,-50.0,-50.0,normal,above
15,9.999999779835166,0.9999999999999282,-50.0,-50.0,normal,above
15,9.999999779835166,0.9999999999999282,-50.0,-50.0,normal,above
15,9.99999971504775,0.9999999999999282,-50.0,-50.0,normal,above
15,9.99999971504775,0.9999999999999282,-50.0,-50.0,normal,above
15,9.99999971504775,0.9999999999999282,-50.0,-50.0,normal,above
15,9.99999971504775,0.9999999999999282,-50.0,-50.0,normal,above
15,9.99999971504775,0.999999999999918,-50.0,-50.0,normal,above
15,9.99999971504775,0.999999999999918,-50.0,-50.0,normal,above
16,9.99999971504775,0.999999999999918,-50.0,-50.0,normal,above
16,9.99999971504775,0.999999999999918,-50.0,-50.0,normal,above
16,9.999999640583084,0.999999999999918,-50.0,-50.0,normal,above
16,9.999999640583084,0.999999999999918,-50.0,-50.0,normal,above
